Brand Name,Generic Name,manufacturer,2012 Total Spending,2012 Total Dosage Units,2012 Total Claims,"2012 Total 
Beneficiaries",2012 Average Spending Per Dosage Unit (Weighted),"2012 Average 
Spending Per Claim","2012 Average 
Spending Per Beneficiary",2013 Total Spending,2013 Total Dosage Units,2013 Total Claims,"2013 Total 
Beneficiaries",2013 Average Spending Per Dosage Unit (Weighted),"2013 Average 
Spending Per Claim","2013 Average 
Spending Per Beneficiary",2014 Total Spending,2014 Total Dosage Units,2014 Total Claims,"2014 Total 
Beneficiaries",2014 Average Spending Per Dosage Unit (Weighted),"2014 Average 
Spending Per Claim","2014 Average 
Spending Per Beneficiary",2015 Total Spending,2015 Total Dosage Units,2015 Total Claims,"2015 Total 
Beneficiaries",2015 Average Spending Per Dosage Unit (Weighted),"2015 Average 
Spending Per Claim","2015 Average 
Spending Per Beneficiary",2016 Total Spending,2016 Total Dosage Units,2016 Total Claims,"2016 Total 
Beneficiaries",2016 Average Spending Per Dosage Unit (Weighted),"2016 Average 
Spending Per Claim","2016 Average 
Spending Per Beneficiary",Change in Average Spending Per Dosage Unit (2015-2016),Annual Growth Rate in Average Spending Per Dosage Unit (2012-2016)
Glyburide ,Glyburide ,Aurobindo Pharm ,"$5,629,986.86 ","20,051,042","216,229","73,068",$0.28 ,$26.04 ,$77.05 ,"$7,858,103.70 ","26,524,799","256,668","84,835",$0.29 ,$30.62 ,$92.63 ,"$4,376,665.03 ","18,853,924","186,163","59,141",$0.23 ,$23.51 ,$74.00 ,"$2,754,100.43 ","10,136,038","98,689","33,559",$0.27 ,$27.91 ,$82.07 ,"$1,178,955.90 ","5,429,631","54,568","19,407",$0.21 ,$21.61 ,$60.75 ,-19.57%,-6.09%
Glyburide ,Glyburide ,Citron Pharma L ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$6,285.87 ","27,749",302,165,$0.23 ,$20.81 ,$38.10 ,"$40,839.28 ","135,059","1,547",651,$0.30 ,$26.40 ,$62.73 ,"$11,769.29 ","47,670",599,367,$0.25 ,$19.65 ,$32.07 ,-18.35%,4.40%
Glyburide ,Glyburide ,Heritage Pharma ,"$6,181,434.94 ","24,382,513","201,953","68,705",$0.25 ,$30.61 ,$89.97 ,"$11,652,882.51 ","43,639,370","414,092","112,690",$0.26 ,$28.14 ,$103.41 ,"$5,981,402.66 ","27,030,733","271,389","77,004",$0.22 ,$22.04 ,$77.68 ,"$4,125,752.83 ","14,563,968","155,865","48,146",$0.27 ,$26.47 ,$85.69 ,"$1,608,901.41 ","7,708,140","81,162","30,431",$0.20 ,$19.82 ,$52.87 ,-25.53%,-4.78%
Glyburide ,Glyburide ,Mckesson Packag ,"$19,025.22 ","55,804",967,188,$0.34 ,$19.67 ,$101.20 ,"$12,600.12 ","35,887",625,148,$0.35 ,$20.16 ,$85.14 ,"$7,454.17 ","24,834",501,138,$0.30 ,$14.88 ,$54.02 ,"$6,996.91 ","17,120",280,95,$0.41 ,$24.99 ,$73.65 ,"$2,814.03 ","11,729",204,72,$0.24 ,$13.79 ,$39.08 ,-41.30%,-8.41%
Glyburide ,Glyburide ,Mylan Instituti ,"$35,467.58 ","111,528","2,448",505,$0.31 ,$14.49 ,$70.23 ,"$19,525.18 ","61,327","1,337",322,$0.31 ,$14.60 ,$60.64 ,"$13,586.72 ","48,353",987,230,$0.28 ,$13.77 ,$59.07 ,"$6,615.04 ","21,972",464,130,$0.30 ,$14.26 ,$50.88 ,"$2,454.02 ","9,665",212,75,$0.25 ,$11.58 ,$32.72 ,-14.73%,-4.94%
Glyburide ,Glyburide ,Teva USA ,"$51,611,353.55 ","205,575,999","2,095,829","436,157",$0.25 ,$24.63 ,$118.33 ,"$38,477,696.59 ","154,767,955","1,532,940","366,872",$0.24 ,$25.10 ,$104.88 ,"$20,157,107.96 ","98,952,373","930,390","252,668",$0.20 ,$21.67 ,$79.78 ,"$12,771,965.96 ","62,038,171","565,708","167,059",$0.20 ,$22.58 ,$76.45 ,"$5,800,036.47 ","33,641,650","303,696","100,091",$0.17 ,$19.10 ,$57.95 ,-15.80%,-8.81%
Glyburide Micronized ,"Glyburide,Micronized ",Dava Pharmaceut ,"$476,832.67 ","2,500,920","37,232","9,694",$0.19 ,$12.81 ,$49.19 ,"$101,532.17 ","536,521","9,449","2,455",$0.19 ,$10.75 ,$41.36 ,"$27,946.07 ","168,005","2,950",831,$0.17 ,$9.47 ,$33.63 ,"$7,931.63 ","38,685",683,282,$0.20 ,$11.61 ,$28.13 ,"$4,256.93 ","23,813",376,150,$0.18 ,$11.32 ,$28.38 ,-12.43%,-1.85%
Glyburide Micronized ,"Glyburide,Micronized ",Mylan ,"$807,012.35 ","4,560,323","57,078","12,605",$0.18 ,$14.14 ,$64.02 ,"$616,871.14 ","3,637,941","45,251","11,086",$0.17 ,$13.63 ,$55.64 ,"$319,900.22 ","2,028,809","25,051","6,351",$0.16 ,$12.77 ,$50.37 ,"$183,506.22 ","1,047,524","11,502","3,401",$0.17 ,$15.95 ,$53.96 ,"$69,193.14 ","387,769","4,240","1,504",$0.18 ,$16.32 ,$46.01 ,2.44%,0.12%
Glyburide Micronized ,"Glyburide,Micronized ",Teva USA ,"$1,173,379.84 ","6,779,944","85,509","19,648",$0.17 ,$13.72 ,$59.72 ,"$1,195,058.83 ","7,298,038","86,084","21,224",$0.16 ,$13.88 ,$56.31 ,"$755,555.82 ","5,447,224","61,673","15,690",$0.14 ,$12.25 ,$48.16 ,"$497,189.04 ","3,047,108","34,132","9,748",$0.16 ,$14.57 ,$51.00 ,"$238,284.29 ","1,471,277","15,975","5,515",$0.16 ,$14.92 ,$43.21 ,-0.32%,-1.46%
Glyburide Micronized ,"Glyburide,Micronized ","West-Ward, Inc. ","$270,416.81 ","1,639,946","23,247","6,351",$0.17 ,$11.63 ,$42.58 ,"$201,606.26 ","1,184,370","17,353","6,143",$0.17 ,$11.62 ,$32.82 ,"$59,673.94 ","419,430","6,646","2,160",$0.14 ,$8.98 ,$27.63 ,"$47,550.33 ","264,984","3,822","1,319",$0.18 ,$12.44 ,$36.05 ,"$56,168.43 ","345,019","4,402","1,527",$0.16 ,$12.76 ,$36.78 ,-9.47%,-0.59%
Glyburide-Metformin HCl ,Glyburide/Metformin HCl ,Actavis Pharma ,"$10,147,210.24 ","46,432,187","415,353","79,051",$0.22 ,$24.43 ,$128.36 ,"$5,011,087.61 ","25,050,604","225,421","57,805",$0.20 ,$22.23 ,$86.69 ,"$1,143,021.25 ","7,497,525","67,441","21,369",$0.15 ,$16.95 ,$53.49 ,"$523,469.71 ","2,775,243","24,642","8,453",$0.19 ,$21.24 ,$61.93 ,"$157,647.19 ","1,004,808","9,279","3,507",$0.16 ,$16.99 ,$44.95 ,-16.63%,-8.08%
Glyburide-Metformin HCl ,Glyburide/Metformin HCl ,Aurobindo Pharm ,"$10,304,966.85 ","44,147,936","313,124","69,654",$0.23 ,$32.91 ,$147.95 ,"$8,281,608.29 ","38,143,677","255,048","76,645",$0.22 ,$32.47 ,$108.05 ,"$3,811,647.96 ","24,258,453","151,361","43,604",$0.16 ,$25.18 ,$87.42 ,"$2,678,272.95 ","13,852,055","83,827","28,863",$0.19 ,$31.95 ,$92.79 ,"$1,884,941.85 ","13,589,862","85,149","26,648",$0.14 ,$22.14 ,$70.73 ,-28.17%,-12.30%
Glyburide-Metformin HCl ,Glyburide/Metformin HCl ,Citron Pharma L ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$2,625.54 ","19,240",185,97,$0.14 ,$14.19 ,$27.07 ,"$209,001.83 ","1,075,042","7,906","3,733",$0.19 ,$26.44 ,$55.99 ,"$944,387.41 ","6,386,163","45,597","14,568",$0.15 ,$20.71 ,$64.83 ,-23.99%,4.02%
Glyburide-Metformin HCl ,Glyburide/Metformin HCl ,Heritage Pharma ,  ,  ,  ,  ,  ,  ,  ,"$533,916.86 ","2,752,137","25,506","7,939",$0.19 ,$20.93 ,$67.25 ,"$850,259.13 ","5,967,001","45,700","13,432",$0.14 ,$18.61 ,$63.30 ,"$550,215.10 ","3,336,092","24,507","9,886",$0.16 ,$22.45 ,$55.66 ,"$26,261.00 ","164,338","1,816",752,$0.16 ,$14.46 ,$34.92 ,-3.34%,-6.36%
Glyburide-Metformin HCl ,Glyburide/Metformin HCl ,Teva USA/Impax ,"$15,032,816.61 ","65,303,757","589,088","108,242",$0.23 ,$25.52 ,$138.88 ,"$12,103,071.76 ","56,600,287","469,276","114,037",$0.21 ,$25.79 ,$106.13 ,"$6,361,784.18 ","39,840,547","318,220","81,284",$0.16 ,$19.99 ,$78.27 ,"$4,513,636.42 ","24,806,004","188,691","55,625",$0.18 ,$23.92 ,$81.14 ,"$373,647.10 ","2,685,587","24,427","13,570",$0.14 ,$15.30 ,$27.53 ,-23.52%,-11.88%
Glycopyrrolate ,Glycopyrrolate ,Ahp ,"$20,870.83 ","25,692",361,119,$0.81 ,$57.81 ,$175.39 ,"$32,585.10 ","49,250",721,174,$0.66 ,$45.19 ,$187.27 ,"$43,477.88 ","77,007","1,099",297,$0.56 ,$39.56 ,$146.39 ,"$53,240.61 ","95,035","1,391",322,$0.56 ,$38.28 ,$165.34 ,"$55,554.57 ","111,045","1,643",403,$0.50 ,$33.81 ,$137.85 ,-10.70%,-11.41%
Glycopyrrolate ,Glycopyrrolate ,Amer. Regent ,"$39,452.84 ","91,752",893,481,$0.43 ,$44.18 ,$82.02 ,"$12,095.10 ","30,058",326,203,$0.40 ,$37.10 ,$59.58 ,"$85,839.24 ","8,920",355,213,$9.62 ,$241.80 ,$403.00 ,"$267,856.41 ","29,242",729,376,$9.16 ,$367.43 ,$712.38 ,"$262,802.30 ","31,027",631,338,$8.47 ,$416.49 ,$777.52 ,-7.53%,110.67%
Glycopyrrolate ,Glycopyrrolate ,Aurobindo Pharm ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$5,233.48 ","9,987",148,85,$0.52 ,$35.36 ,$61.57 ,"$251,952.60 ","568,414","7,717","2,360",$0.44 ,$32.65 ,$106.76 ,-15.41%,-15.41%
Glycopyrrolate ,Glycopyrrolate ,Dr.Reddy'S Lab ,"$2,264,501.23 ","2,359,305","31,300","9,117",$0.98 ,$72.35 ,$248.38 ,"$1,769,358.53 ","1,998,580","25,730","8,097",$0.89 ,$68.77 ,$218.52 ,"$1,416,075.02 ","1,921,675","24,805","7,154",$0.74 ,$57.09 ,$197.94 ,"$468,873.72 ","659,699","8,966","4,076",$0.72 ,$52.29 ,$115.03 ,"$64,467.88 ","115,830","1,719",551,$0.55 ,$37.50 ,$117.00 ,-23.66%,-13.61%
Glycopyrrolate ,Glycopyrrolate ,Excellium Pharm ,  ,  ,  ,  ,  ,  ,  ,"$22,040.56 ","30,477",434,170,$0.72 ,$50.78 ,$129.65 ,"$84,235.55 ","137,875","1,721",712,$0.62 ,$48.95 ,$118.31 ,"$228,446.92 ","345,115","4,656","1,881",$0.67 ,$49.07 ,$121.45 ,"$526,279.67 ","936,301","12,398","3,796",$0.57 ,$42.45 ,$138.64 ,-14.78%,-7.54%
Glycopyrrolate ,Glycopyrrolate ,Mylan Instituti ,"$41,711.89 ","55,921",821,149,$0.75 ,$50.81 ,$279.95 ,"$35,474.86 ","56,963",814,124,$0.62 ,$43.58 ,$286.09 ,"$30,398.39 ","57,958",900,151,$0.52 ,$33.78 ,$201.31 ,"$28,580.88 ","54,928",818,156,$0.52 ,$34.94 ,$183.21 ,"$14,219.22 ","27,704",462,96,$0.51 ,$30.78 ,$148.12 ,-1.36%,-8.92%
Glycopyrrolate ,Glycopyrrolate ,Par Pharm. ,"$2,629,242.89 ","2,862,588","39,464","11,215",$0.93 ,$66.62 ,$234.44 ,"$4,167,581.96 ","4,800,277","66,180","17,061",$0.87 ,$62.97 ,$244.28 ,"$3,500,135.62 ","4,948,887","69,358","18,228",$0.71 ,$50.46 ,$192.02 ,"$3,927,982.75 ","5,806,418","76,154","22,058",$0.68 ,$51.58 ,$178.08 ,"$3,932,091.10 ","6,951,378","91,209","24,940",$0.57 ,$43.11 ,$157.66 ,-16.72%,-11.50%
Glycopyrrolate ,Glycopyrrolate ,Qualitest ,"$2,715,637.09 ","2,875,965","37,478","12,304",$0.96 ,$72.46 ,$220.71 ,"$2,895,760.65 ","3,598,104","46,778","13,938",$0.82 ,$61.90 ,$207.76 ,"$3,377,614.25 ","4,866,079","63,664","16,670",$0.70 ,$53.05 ,$202.62 ,"$2,920,762.40 ","4,619,013","62,628","17,554",$0.64 ,$46.64 ,$166.39 ,"$385,120.97 ","626,625","9,338","4,455",$0.61 ,$41.24 ,$86.45 ,-4.60%,-10.51%
Glycopyrrolate ,Glycopyrrolate ,Rising Pharm ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$184,991.59 ","312,970","3,842","2,905",$0.60 ,$48.15 ,$63.68 ,"$596,818.95 ","992,353","13,929","6,142",$0.61 ,$42.85 ,$97.17 ,2.56%,2.56%
Glycopyrrolate ,Glycopyrrolate ,"West-Ward, Inc. ","$256,965.29 ","348,829","5,198","1,990",$0.74 ,$49.44 ,$129.13 ,"$143,437.72 ","185,017","2,974",934,$0.80 ,$48.23 ,$153.57 ,"$432,448.66 ","86,158","1,593",678,$6.19 ,$271.47 ,$637.83 ,"$334,393.64 ","59,672",898,424,$6.00 ,$372.38 ,$788.66 ,"$158,380.71 ","22,822",543,322,$7.32 ,$291.68 ,$491.87 ,21.94%,77.56%
Glydo ,Lidocaine HCl ,Sagent Pharmace ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$7,516.01 ","12,442",189,136,$0.60 ,$39.77 ,$55.26 ,"$16,554.22 ","31,017",395,241,$0.53 ,$41.91 ,$68.69 ,-11.65%,-11.65%
Glynase ,"Glyburide,Micronized ",Pharmacia/Upjhn ,"$88,841.56 ","49,910",634,131,$1.77 ,$140.13 ,$678.18 ,"$81,873.46 ","44,565",529,118,$1.82 ,$154.77 ,$693.84 ,"$72,657.97 ","35,895",404,92,$2.07 ,$179.85 ,$789.76 ,"$53,711.97 ","23,939",232,58,$2.31 ,$231.52 ,$926.07 ,"$53,245.75 ","19,962",187,54,$2.70 ,$284.74 ,$986.03 ,16.90%,11.12%
Glyset ,Miglitol ,Pharmacia/Upjhn ,"$2,973,749.44 ","2,274,485","17,322","3,774",$1.31 ,$171.67 ,$787.96 ,"$2,895,488.97 ","2,035,976","15,045","3,239",$1.43 ,$192.46 ,$893.95 ,"$2,642,556.65 ","1,618,083","12,051","2,608",$1.64 ,$219.28 ,"$1,013.25 ","$2,474,263.62 ","1,321,127","9,722","2,017",$1.88 ,$254.50 ,"$1,226.70 ","$1,685,088.27 ","770,356","5,329","1,399",$2.20 ,$316.21 ,"$1,204.49 ",17.00%,13.80%
Glyxambi ,Empagliflozin/Linagliptin ,Boehringer Ing. ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$3,346,157.77 ","205,645","5,098","2,019",$16.27 ,$656.37 ,"$1,657.33 ","$16,027,548.00 ","958,720","23,321","6,029",$16.72 ,$687.26 ,"$2,658.41 ",2.74%,2.74%
Golytely ,"PEG3350/Sod Sulf,Bicarb,Cl/KCl ",Braintree Labs. ,"$369,243.26 ","79,160,483","21,806","19,888",$0.04 ,$16.93 ,$18.57 ,"$383,654.19 ","83,048,505","22,936","20,760",$0.10 ,$16.73 ,$18.48 ,"$366,876.70 ","78,814,042","22,939","20,819",$0.29 ,$15.99 ,$17.62 ,"$303,011.05 ","58,926,786","18,464","16,730",$0.80 ,$16.41 ,$18.11 ,"$244,812.54 ","46,788,796","15,149","13,588",$0.36 ,$16.16 ,$18.02 ,-54.44%,71.67%
Gralise ,Gabapentin ,"Depomed, Inc. ","$2,261,775.07 ","983,663","12,214","4,618",$2.30 ,$185.18 ,$489.77 ,"$8,354,602.69 ","2,896,980","34,721","10,042",$2.89 ,$240.62 ,$831.97 ,"$17,230,866.19 ","4,184,574","50,080","12,664",$4.12 ,$344.07 ,"$1,360.62 ","$24,515,581.30 ","4,710,225","54,162","12,119",$5.20 ,$452.63 ,"$2,022.90 ","$27,054,876.26 ","4,396,849","49,887","10,845",$6.15 ,$542.32 ,"$2,494.69 ",18.24%,27.89%
Granisetron HCl ,Granisetron HCl ,Akorn Inc. ,"$26,149.61 ","3,447",551,167,$7.75 ,$47.46 ,$156.58 ,"$46,622.96 ","2,535",938,236,$18.64 ,$49.70 ,$197.55 ,"$72,501.40 ","3,963",853,272,$18.39 ,$85.00 ,$266.55 ,"$85,486.78 ","6,037","1,105",334,$14.19 ,$77.36 ,$255.95 ,"$93,579.80 ","6,052","1,382",352,$15.84 ,$67.71 ,$265.85 ,11.59%,19.55%
Granisetron HCl ,Granisetron HCl ,Breckenridge ,"$42,762.18 ","3,869",151,80,$11.05 ,$283.19 ,$534.53 ,"$108,003.38 ","8,956",341,162,$12.06 ,$316.73 ,$666.69 ,"$122,505.72 ","11,109",665,194,$11.03 ,$184.22 ,$631.47 ,"$76,058.19 ","10,814",691,203,$7.03 ,$110.07 ,$374.67 ,"$42,406.82 ","5,824",321,142,$7.28 ,$132.11 ,$298.64 ,3.53%,-9.91%
Granisetron HCl ,Granisetron HCl ,Northstar Rx Ll ,"$105,010.34 ","6,693",242,126,$15.69 ,$433.93 ,$833.42 ,"$71,032.18 ","6,888",235,128,$10.31 ,$302.26 ,$554.94 ,"$65,461.81 ","13,603",462,207,$4.81 ,$141.69 ,$316.24 ,"$30,978.14 ","7,214",289,155,$4.29 ,$107.19 ,$199.86 ,"$71,563.48 ","20,441",839,369,$3.50 ,$85.30 ,$193.94 ,-18.47%,-31.27%
Granisetron HCl ,Granisetron HCl ,Roxane/West-War ,"$231,441.53 ","15,667",628,353,$14.77 ,$368.54 ,$655.64 ,"$138,995.26 ","13,457",533,314,$10.33 ,$260.78 ,$442.66 ,"$230,856.45 ","23,801",967,496,$9.70 ,$238.73 ,$465.44 ,"$242,070.45 ","33,777","1,238",657,$7.17 ,$195.53 ,$368.45 ,"$306,016.86 ","47,516","1,560",861,$6.44 ,$196.16 ,$355.42 ,-10.14%,-18.74%
Granisetron HCl ,Granisetron HCl ,Sagent Pharmace ,"$8,436.24 ","23,340",155,63,$0.36 ,$54.43 ,$133.91 ,"$6,773.39 ","1,066",152,46,$6.35 ,$44.56 ,$147.25 ,"$10,805.62 ","1,824",151,37,$5.93 ,$71.56 ,$292.04 ,"$2,445.59 ",376,63,23,$6.50 ,$38.82 ,$106.33 ,"$3,076.42 ",548,74,  ,$5.61 ,$41.57 ,  ,-13.69%,98.52%
Granisetron HCl ,Granisetron HCl ,Sandoz Inc. ,"$28,537.65 ",693,287,85,$41.18 ,$99.43 ,$335.74 ,"$21,745.22 ",541,189,67,$40.19 ,$115.05 ,$324.56 ,"$29,169.37 ","1,358",409,108,$21.48 ,$71.32 ,$270.09 ,"$31,136.74 ","1,110",471,114,$28.05 ,$66.11 ,$273.13 ,"$36,264.24 ","1,508",635,185,$24.05 ,$57.11 ,$196.02 ,-14.27%,-12.58%
Granisetron HCl ,Granisetron HCl ,Taro Pharm USA ,"$261,426.49 ","19,957",776,436,$13.10 ,$336.89 ,$599.60 ,"$126,646.60 ","27,090",996,484,$4.68 ,$127.16 ,$261.67 ,"$122,886.13 ","28,494","1,057",497,$4.31 ,$116.26 ,$247.26 ,"$111,618.02 ","26,606","1,024",478,$4.20 ,$109.00 ,$233.51 ,"$9,384.89 ","2,762",121,  ,$3.40 ,$77.56 ,  ,-19.01%,-28.63%
Granisetron HCl ,Granisetron HCl ,Teva USA ,"$718,686.19 ","47,292","2,128",984,$15.20 ,$337.73 ,$730.37 ,"$639,381.93 ","55,971","2,341","1,108",$11.42 ,$273.12 ,$577.06 ,"$313,163.62 ","36,461","1,397",699,$8.59 ,$224.17 ,$448.02 ,"$289,723.60 ","39,527","1,386",687,$7.33 ,$209.04 ,$421.72 ,"$278,225.86 ","37,985","1,235",609,$7.32 ,$225.28 ,$456.86 ,-0.07%,-16.68%
Granisetron HCl ,Granisetron HCl/PF ,App/Fresenius K ,"$2,723.97 ",157,137,  ,$17.35 ,$19.88 ,  ,  ,  ,  ,  ,  ,  ,  ,"$6,862.01 ",419,43,14,$16.38 ,$159.58 ,$490.14 ,"$7,252.68 ",481,113,38,$15.08 ,$64.18 ,$190.86 ,"$5,237.66 ",627,101,33,$8.35 ,$51.86 ,$158.72 ,-44.60%,-16.70%
Granisetron HCl ,Granisetron HCl/PF ,Sagent Pharmace ,$516.18 ,44,12,  ,$11.73 ,$43.02 ,  ,"$3,488.60 ",326,97,45,$10.70 ,$35.96 ,$77.52 ,"$18,921.04 ","1,838",402,119,$10.29 ,$47.07 ,$159.00 ,"$13,921.03 ","1,437",307,78,$9.69 ,$45.35 ,$178.47 ,"$10,632.47 ","1,092",418,139,$9.74 ,$25.44 ,$76.49 ,0.51%,-4.55%
Granix ,Tbo-Filgrastim ,"Cephalon,Inc.-T ",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$503,977.93 ","1,025",211,98,$491.43 ,"$2,388.52 ","$5,142.63 ","$1,425,750.93 ","2,776",668,286,$513.60 ,"$2,134.36 ","$4,985.14 ","$2,638,996.41 ","5,032","1,057",478,$524.38 ,"$2,496.69 ","$5,520.91 ",2.10%,3.30%
Grastek ,"Grass Pollen-Timothy, Standard ",Merck Sharp & D ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$10,678.15 ","1,290",37,17,$8.28 ,$288.60 ,$628.13 ,"$127,802.47 ","15,600",385,119,$8.19 ,$331.95 ,"$1,073.97 ","$170,604.18 ","19,980",503,156,$8.54 ,$339.17 ,"$1,093.62 ",4.23%,1.56%
Griseofulvin ,"Griseofulvin, Microsize ",Actavis Pharma ,"$32,349.66 ","127,417",307,209,$0.25 ,$105.37 ,$154.78 ,"$28,481.69 ","120,302",311,192,$0.24 ,$91.58 ,$148.34 ,"$18,679.31 ","79,712",219,138,$0.23 ,$85.29 ,$135.36 ,"$8,240.76 ","47,560",125,78,$0.17 ,$65.93 ,$105.65 ,"$7,652.75 ","48,229",132,88,$0.16 ,$57.98 ,$86.96 ,-8.42%,-11.09%
Griseofulvin ,"Griseofulvin, Microsize ",Qualitest ,"$21,534.21 ","82,298",191,117,$0.26 ,$112.74 ,$184.05 ,"$31,661.79 ","125,600",313,193,$0.25 ,$101.16 ,$164.05 ,"$23,269.06 ","108,005",251,151,$0.22 ,$92.71 ,$154.10 ,"$15,357.95 ","83,076",246,142,$0.18 ,$62.43 ,$108.15 ,"$6,846.91 ","54,280",153,97,$0.13 ,$44.75 ,$70.59 ,-31.77%,-16.67%
Griseofulvin ,"Griseofulvin, Microsize ",Rising Pharm ,"$5,235.17 ",819,25,25,$6.39 ,$209.41 ,$209.41 ,"$1,034,870.18 ","176,371","4,912","3,196",$5.87 ,$210.68 ,$323.80 ,"$1,128,191.30 ","192,885","5,396","3,436",$5.85 ,$209.08 ,$328.34 ,"$935,543.91 ","153,405","4,076","2,605",$6.10 ,$229.53 ,$359.13 ,"$714,470.69 ","124,718","3,392","2,033",$5.73 ,$210.63 ,$351.44 ,-6.06%,-2.70%
Griseofulvin ,"Griseofulvin, Microsize ",Sandoz ,  ,  ,  ,  ,  ,  ,  ,"$29,011.03 ","4,951",147,125,$5.86 ,$197.35 ,$232.09 ,"$352,578.39 ","60,817","1,735","1,163",$5.80 ,$203.22 ,$303.16 ,"$582,346.05 ","98,287","2,816","1,791",$5.92 ,$206.80 ,$325.15 ,"$639,575.33 ","108,888","3,022","1,904",$5.87 ,$211.64 ,$335.91 ,-0.87%,0.08%
Griseofulvin ,"Griseofulvin, Microsize ",Teva USA ,"$15,091.68 ","60,280",145,86,$0.25 ,$104.08 ,$175.48 ,"$11,718.12 ","49,326",123,91,$0.24 ,$95.27 ,$128.77 ,"$13,892.95 ","61,524",172,101,$0.23 ,$80.77 ,$137.55 ,"$13,452.45 ","79,794",203,115,$0.17 ,$66.27 ,$116.98 ,"$11,807.22 ","87,455",262,154,$0.14 ,$45.07 ,$76.67 ,-19.92%,-14.31%
Griseofulvin Ultramicrosize ,Griseofulvin Ultramicrosize ,Corepharma LLC ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$22,606.85 ","5,157",92,83,$4.40 ,$245.73 ,$272.37 ,"$571,242.11 ","127,331","2,362","1,521",$4.51 ,$241.85 ,$375.57 ,"$1,032,755.58 ","251,670","4,753","2,709",$4.11 ,$217.28 ,$381.23 ,-8.77%,-3.33%
Griseofulvin Ultramicrosize ,Griseofulvin Ultramicrosize ,Oceanside Pharm ,  ,  ,  ,  ,  ,  ,  ,"$577,488.89 ","113,493","2,206","1,419",$5.09 ,$261.78 ,$406.97 ,"$928,880.81 ","194,371","3,863","2,346",$4.78 ,$240.46 ,$395.94 ,"$680,459.11 ","147,060","3,016","1,933",$4.63 ,$225.62 ,$352.02 ,"$70,756.70 ","16,463",360,284,$4.30 ,$196.55 ,$249.14 ,-7.11%,-5.47%
Griseofulvin Ultramicrosize ,Griseofulvin Ultramicrosize ,Rising Pharm ,"$95,956.59 ","17,023",286,278,$5.63 ,$335.51 ,$345.17 ,"$1,534,779.71 ","276,653","5,224","3,147",$5.56 ,$293.79 ,$487.70 ,"$1,279,537.17 ","243,615","4,848","2,665",$5.28 ,$263.93 ,$480.13 ,"$768,155.79 ","150,534","2,843","1,612",$5.13 ,$270.19 ,$476.52 ,"$543,094.45 ","109,458","2,019","1,133",$4.98 ,$268.99 ,$479.34 ,-2.96%,-2.99%
Guanfacine HCl ,Guanfacine HCl ,Actavis Pharma ,"$803,632.30 ","2,959,700","56,473","10,753",$0.28 ,$14.23 ,$74.74 ,"$699,094.29 ","2,717,140","47,528","10,189",$0.26 ,$14.71 ,$68.61 ,"$481,826.25 ","2,239,592","37,500","8,183",$0.22 ,$12.85 ,$58.88 ,"$200,312.98 ","1,047,302","18,439","5,176",$0.20 ,$10.86 ,$38.70 ,"$106,322.14 ","577,975","9,755","2,567",$0.19 ,$10.90 ,$41.42 ,-4.52%,-9.39%
Guanfacine HCl ,Guanfacine HCl ,Amneal Pharmace ,"$653,892.03 ","2,646,968","41,708","9,650",$0.25 ,$15.68 ,$67.76 ,"$706,784.85 ","3,040,860","46,210","10,584",$0.24 ,$15.30 ,$66.78 ,"$480,051.78 ","2,492,001","38,728","9,151",$0.20 ,$12.40 ,$52.46 ,"$326,570.77 ","1,937,166","29,970","8,289",$0.17 ,$10.90 ,$39.40 ,"$425,033.63 ","2,407,302","37,057","9,004",$0.18 ,$11.47 ,$47.20 ,5.12%,-8.30%
Guanfacine HCl ,Guanfacine HCl ,Epic Pharma LLC ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$22,931.88 ","119,597","1,244",598,$0.20 ,$18.43 ,$38.35 ,"$43,171.69 ","253,292","3,575","1,075",$0.17 ,$12.08 ,$40.16 ,"$42,286.62 ","282,280","4,286","1,091",$0.15 ,$9.87 ,$38.76 ,-11.66%,-11.76%
