Brand Name,Generic Name,Number of Manufacturers,2012 Total Spending,2012 Total Dosage Units,2012 Total Claims,"2012 Total 
Beneficiaries",2012 Average Spending Per Dosage Unit (Weighted),"2012 Average 
Spending Per Claim","2012 Average 
Spending Per Beneficiary",2013 Total Spending,2013 Total Dosage Units,2013 Total Claims,"2013 Total 
Beneficiaries",2013 Average Spending Per Dosage Unit (Weighted),"2013 Average 
Spending Per Claim","2013 Average 
Spending Per Beneficiary",2014 Total Spending,2014 Total Dosage Units,2014 Total Claims,"2014 Total 
Beneficiaries",2014 Average Spending Per Dosage Unit (Weighted),"2014 Average 
Spending Per Claim","2014 Average 
Spending Per Beneficiary",2015 Total Spending,2015 Total Dosage Units,2015 Total Claims,"2015 Total 
Beneficiaries",2015 Average Spending Per Dosage Unit (Weighted),"2015 Average 
Spending Per Claim","2015 Average 
Spending Per Beneficiary",2016 Total Spending,2016 Total Dosage Units,2016 Total Claims,"2016 Total 
Beneficiaries",2016 Average Spending Per Dosage Unit (Weighted),"2016 Average 
Spending Per Claim","2016 Average 
Spending Per Beneficiary",Change in Average Spending Per Dosage Unit (2015-2016),Annual Growth Rate in Average Spending Per Dosage Unit (2012-2016)
Isosorbide Mononitrate ,Isosorbide Mononitrate ,3,"$4,799,439.53 ","15,778,168","228,787","43,197",$0.31 ,$20.98 ,$111.11 ,"$4,849,677.25 ","16,380,255","238,657","42,713",$0.30 ,$20.32 ,$113.54 ,"$3,537,268.09 ","15,485,610","222,933","40,627",$0.23 ,$15.87 ,$87.07 ,"$2,919,500.91 ","14,780,632","207,591","39,510",$0.20 ,$14.06 ,$73.89 ,"$2,973,226.02 ","14,452,813","197,790","39,325",$0.21 ,$15.03 ,$75.61 ,3.99%,-9.40%
Isosorbide Mononitrate ER ,Isosorbide Mononitrate ,8,"$94,869,216.57 ","261,063,228","5,612,477","980,813",$0.36 ,$16.90 ,$96.73 ,"$109,565,757.11 ","294,385,695","6,050,416","1,077,583",$0.37 ,$18.11 ,$101.68 ,"$105,630,087.29 ","304,013,037","6,049,805","1,101,685",$0.35 ,$17.46 ,$95.88 ,"$97,558,787.17 ","308,711,242","5,988,925","1,116,539",$0.32 ,$16.29 ,$87.38 ,"$96,738,774.83 ","317,021,741","5,946,063","1,129,545",$0.30 ,$16.27 ,$85.64 ,-3.74%,-4.23%
Isradipine ,Isradipine ,2,"$3,023,167.14 ","2,112,643","24,510","4,712",$1.43 ,$123.34 ,$641.59 ,"$3,460,655.39 ","2,507,868","26,277","5,164",$1.38 ,$131.70 ,$670.15 ,"$3,343,321.96 ","2,475,932","25,299","5,031",$1.35 ,$132.15 ,$664.54 ,"$2,787,337.59 ","2,151,300","21,428","4,440",$1.30 ,$130.08 ,$627.78 ,"$2,488,390.41 ","2,068,540","20,194","4,070",$1.20 ,$123.22 ,$611.40 ,-7.21%,-4.27%
Istalol ,Timolol Maleate ,1,"$11,531,138.03 ","336,643","66,766","18,806",$34.25 ,$172.71 ,$613.16 ,"$10,802,859.90 ","281,947","55,064","15,981",$38.32 ,$196.19 ,$675.98 ,"$10,782,301.36 ","233,168","45,096","12,619",$46.24 ,$239.10 ,$854.45 ,"$10,394,395.61 ","193,421","37,682","10,809",$53.74 ,$275.85 ,$961.64 ,"$8,027,378.72 ","149,291","29,259","8,706",$53.77 ,$274.36 ,$922.05 ,0.06%,11.93%
Itraconazole ,Itraconazole ,3,"$12,406,300.43 ","2,186,454","28,443","10,647",$5.68 ,$436.18 ,"$1,165.24 ","$13,211,522.85 ","2,389,920","30,375","11,424",$5.56 ,$434.95 ,"$1,156.47 ","$12,657,427.07 ","2,471,193","29,815","11,051",$5.18 ,$424.53 ,"$1,145.36 ","$11,751,259.79 ","2,404,128","29,553","10,662",$4.89 ,$397.63 ,"$1,102.16 ","$10,958,854.60 ","2,299,378","29,746","10,591",$4.77 ,$368.41 ,"$1,034.73 ",-2.54%,-4.27%
Ixiaro ,Japanese Encephalitis Vacc/PF ,1,"$57,927.57 ",200,240,162,$289.64 ,$241.36 ,$357.58 ,"$65,019.28 ",149,222,157,$436.37 ,$292.88 ,$414.14 ,"$104,423.71 ",232,378,247,$451.07 ,$276.25 ,$422.77 ,"$122,327.97 ",276,434,280,$444.02 ,$281.86 ,$436.89 ,"$132,229.67 ",300,464,298,$441.50 ,$284.98 ,$443.72 ,-0.57%,11.11%
Jadenu ,Deferasirox ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$42,256,364.01 ","414,065","5,207","1,456",$99.79 ,"$8,115.30 ","$29,022.23 ","$114,616,344.02 ","1,008,485","12,754","2,366",$110.94 ,"$8,986.70 ","$48,443.09 ",11.17%,11.17%
Jakafi ,Ruxolitinib Phosphate ,1,"$63,883,481.97 ","526,478","8,584","1,553",$121.33 ,"$7,442.16 ","$41,135.53 ","$131,403,244.50 ","975,723","16,003","2,435",$134.66 ,"$8,211.16 ","$53,964.37 ","$218,432,420.59 ","1,458,388","24,004","3,454",$149.77 ,"$9,099.83 ","$63,240.42 ","$373,231,099.03 ","2,275,304","37,767","5,292",$164.03 ,"$9,882.47 ","$70,527.42 ","$537,371,158.27 ","3,019,453","50,418","6,701",$177.97 ,"$10,658.32 ","$80,192.68 ",8.50%,10.05%
Jalyn ,Dutasteride/Tamsulosin HCl ,1,"$34,537,869.92 ","8,843,340","210,396","45,982",$3.91 ,$164.16 ,$751.12 ,"$47,702,417.90 ","11,350,332","256,199","51,758",$4.20 ,$186.19 ,$921.64 ,"$51,054,611.39 ","11,147,090","242,906","46,736",$4.58 ,$210.18 ,"$1,092.40 ","$49,175,104.77 ","9,388,929","200,960","38,803",$5.24 ,$244.70 ,"$1,267.30 ","$9,829,824.73 ","1,783,369","42,160","12,920",$5.51 ,$233.16 ,$760.82 ,5.24%,8.99%
Jantoven ,Warfarin Sodium ,1,"$10,480,772.04 ","37,833,042","1,009,002","150,421",$0.29 ,$10.39 ,$69.68 ,"$10,699,633.54 ","45,155,308","1,115,817","174,059",$0.24 ,$9.59 ,$61.47 ,"$10,252,422.92 ","47,370,046","1,164,924","185,990",$0.22 ,$8.80 ,$55.12 ,"$11,275,746.07 ","45,658,145","1,055,820","183,901",$0.25 ,$10.68 ,$61.31 ,"$12,433,839.11 ","56,833,287","1,098,747","191,406",$0.22 ,$11.32 ,$64.96 ,-11.06%,-6.12%
Janumet ,Sitagliptin Phos/Metformin HCl ,1,"$286,562,107.16 ","77,250,270","1,016,093","182,438",$3.71 ,$282.02 ,"$1,570.74 ","$367,276,767.72 ","87,949,715","1,101,190","201,480",$4.18 ,$333.53 ,"$1,822.89 ","$432,740,670.86 ","89,840,542","1,096,549","203,576",$4.82 ,$394.64 ,"$2,125.70 ","$503,087,363.90 ","91,413,751","1,092,841","205,369",$5.50 ,$460.35 ,"$2,449.68 ","$556,694,545.95 ","93,168,476","1,082,677","204,743",$5.98 ,$514.18 ,"$2,718.99 ",8.57%,12.66%
Janumet XR ,Sitagliptin Phos/Metformin HCl ,1,"$7,066,019.83 ","1,425,806","26,182","9,945",$5.43 ,$269.88 ,$710.51 ,"$39,739,081.49 ","7,346,233","125,260","31,910",$5.94 ,$317.25 ,"$1,245.35 ","$82,320,638.48 ","13,330,901","219,203","49,479",$6.77 ,$375.55 ,"$1,663.75 ","$126,799,786.13 ","18,107,308","288,551","62,299",$7.66 ,$439.44 ,"$2,035.34 ","$172,812,242.68 ","22,935,872","350,125","73,820",$8.24 ,$493.57 ,"$2,340.99 ",7.56%,10.99%
Januvia ,Sitagliptin Phosphate ,1,"$1,113,009,200.10 ","149,650,138","3,766,164","666,578",$7.44 ,$295.53 ,"$1,669.74 ","$1,460,522,983.90 ","174,157,217","4,358,783","761,776",$8.39 ,$335.08 ,"$1,917.26 ","$1,775,295,532.60 ","183,579,143","4,496,501","789,934",$9.67 ,$394.82 ,"$2,247.40 ","$2,131,952,445.80 ","193,044,993","4,623,600","828,818",$11.05 ,$461.10 ,"$2,572.28 ","$2,440,135,878.70 ","203,634,807","4,742,081","864,598",$11.99 ,$514.57 ,"$2,822.28 ",8.50%,12.67%
Jardiance ,Empagliflozin ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$1,022,809.21 ","102,557","2,615","1,633",$9.97 ,$391.13 ,$626.34 ,"$27,008,974.38 ","2,351,853","59,797","18,399",$11.48 ,$451.68 ,"$1,467.96 ","$101,243,614.10 ","8,083,013","191,710","49,654",$12.52 ,$528.11 ,"$2,038.98 ",9.07%,12.06%
Jencycla ,Norethindrone ,1,  ,  ,  ,  ,  ,  ,  ,$701.33 ,"1,036",25,24,$0.68 ,$28.05 ,$29.22 ,"$12,197.10 ","35,420","1,072",366,$0.34 ,$11.38 ,$33.33 ,"$13,958.32 ","43,346","1,367",339,$0.32 ,$10.21 ,$41.17 ,"$9,359.18 ","31,752",975,230,$0.29 ,$9.60 ,$40.69 ,-8.47%,-24.21%
Jentadueto ,Linagliptin/Metformin HCl ,1,"$1,115,316.28 ","302,604","4,456","1,713",$3.69 ,$250.30 ,$651.09 ,"$11,716,331.91 ","2,877,396","41,456","9,969",$4.07 ,$282.62 ,"$1,175.28 ","$27,991,461.87 ","5,892,952","76,831","16,328",$4.75 ,$364.33 ,"$1,714.32 ","$46,530,912.48 ","8,514,792","108,946","22,097",$5.46 ,$427.10 ,"$2,105.76 ","$67,813,936.95 ","11,510,990","147,406","27,562",$5.89 ,$460.05 ,"$2,460.41 ",7.81%,12.44%
Jevtana ,Cabazitaxel ,1,"$1,664,491.99 ",293,177,43,"$5,690.57 ","$9,403.91 ","$38,709.12 ","$1,861,442.33 ",323,196,39,"$5,771.91 ","$9,497.15 ","$47,729.29 ","$1,697,661.02 ",284,189,47,"$5,988.22 ","$8,982.33 ","$36,120.45 ","$2,079,628.33 ",396,216,46,"$5,251.59 ","$9,627.91 ","$45,209.31 ","$2,680,072.97 ",419,251,56,"$6,404.00 ","$10,677.58 ","$47,858.45 ",21.94%,3.00%
Jinteli ,Norethindrone Ac-Eth Estradiol ,1,"$1,769,517.99 ","938,124","22,051","5,059",$1.89 ,$80.25 ,$349.78 ,"$1,744,422.49 ","965,079","21,744","4,988",$1.81 ,$80.23 ,$349.72 ,"$1,639,067.04 ","894,994","19,644","4,368",$1.83 ,$83.44 ,$375.24 ,"$1,553,684.33 ","744,153","16,104","3,873",$2.09 ,$96.48 ,$401.16 ,"$1,760,540.54 ","844,679","18,550","4,459",$2.08 ,$94.91 ,$394.83 ,-0.17%,2.53%
Jolessa ,Levonorgestrel-Ethin Estradiol ,1,"$679,123.21 ","537,287","5,932","2,363",$1.26 ,$114.48 ,$287.40 ,"$360,482.70 ","292,671","3,215","1,617",$1.23 ,$112.13 ,$222.93 ,"$439,813.58 ","399,224","4,393","1,620",$1.10 ,$100.12 ,$271.49 ,"$325,261.77 ","313,536","3,447","1,328",$1.04 ,$94.36 ,$244.93 ,"$194,063.39 ","252,776","2,776","1,109",$0.77 ,$69.91 ,$174.99 ,-25.99%,-11.72%
Jolivette ,Norethindrone ,1,"$288,615.27 ","340,310","8,360","2,217",$0.85 ,$34.52 ,$130.18 ,"$275,103.51 ","342,824","8,304","2,216",$0.80 ,$33.13 ,$124.14 ,"$221,446.71 ","323,458","7,896","2,067",$0.68 ,$28.05 ,$107.13 ,"$171,434.66 ","279,413","6,758","1,807",$0.61 ,$25.37 ,$94.87 ,"$167,211.89 ","302,330","7,072","1,994",$0.55 ,$23.64 ,$83.86 ,-9.86%,-10.14%
Jublia ,Efinaconazole ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$2,477,948.69 ","21,875","4,839","3,387",$113.28 ,$512.08 ,$731.61 ,"$28,086,848.86 ","224,269","42,187","18,445",$125.24 ,$665.77 ,"$1,522.74 ","$34,570,463.48 ","259,045","41,932","18,750",$133.45 ,$824.44 ,"$1,843.76 ",6.56%,8.54%
Junel ,Norethindrone Ac-Eth Estradiol ,1,"$313,398.65 ","295,547","10,684","2,227",$1.06 ,$29.33 ,$140.73 ,"$281,780.62 ","271,858","9,691","2,188",$1.04 ,$29.08 ,$128.78 ,"$287,038.42 ","292,819","10,282","2,078",$0.98 ,$27.92 ,$138.13 ,"$249,057.92 ","285,716","9,636","1,829",$0.87 ,$25.85 ,$136.17 ,"$230,231.86 ","296,715","9,537","2,170",$0.78 ,$24.14 ,$106.10 ,-11.00%,-7.52%
Junel Fe ,Norethindrone-E.Estradiol-Iron ,1,"$532,267.26 ","719,065","21,416","4,341",$0.74 ,$24.85 ,$122.61 ,"$444,008.17 ","596,448","17,605","3,974",$0.74 ,$25.22 ,$111.73 ,"$451,293.30 ","652,156","18,476","4,047",$0.69 ,$24.43 ,$111.51 ,"$450,841.94 ","708,882","19,777","3,874",$0.64 ,$22.80 ,$116.38 ,"$453,993.71 ","755,246","20,567","4,513",$0.60 ,$22.07 ,$100.60 ,-5.48%,-5.07%
Juxtapid ,Lomitapide Mesylate ,1,  ,  ,  ,  ,  ,  ,  ,"$14,989,069.34 ","18,290",622,179,$819.44 ,"$24,098.18 ","$83,737.82 ","$54,812,629.05 ","59,830","1,997",356,$916.15 ,"$27,447.49 ","$153,968.06 ","$78,684,380.76 ","74,815","2,498",392,"$1,051.72 ","$31,498.95 ","$200,725.46 ","$32,767,130.17 ","28,916",976,144,"$1,133.20 ","$33,572.88 ","$227,549.52 ",7.75%,11.41%
K Effervescent ,Potassium Bicarbonate/Cit Ac ,1,"$160,653.09 ","593,311","8,755","2,679",$0.27 ,$18.35 ,$59.97 ,"$219,749.69 ","584,978","8,093","2,759",$0.38 ,$27.15 ,$79.65 ,"$225,697.75 ","489,126","6,794","2,212",$0.46 ,$33.22 ,$102.03 ,"$241,739.02 ","414,097","5,841","2,078",$0.58 ,$41.39 ,$116.33 ,"$72,328.86 ","125,009","1,927",877,$0.58 ,$37.53 ,$82.47 ,-0.89%,20.90%
K-Phos Neutral ,"Sod Phos Di, Mono/K Phos Mono ",1,"$56,254.24 ","232,382","1,821",808,$0.24 ,$30.89 ,$69.62 ,"$17,630.71 ","100,172",515,202,$0.18 ,$34.23 ,$87.28 ,"$38,688.69 ","91,944","1,037",517,$0.42 ,$37.31 ,$74.83 ,"$66,192.33 ","153,883","1,719",704,$0.43 ,$38.51 ,$94.02 ,"$100,058.13 ","215,144","2,056",818,$0.47 ,$48.67 ,$122.32 ,8.12%,17.73%
K-Phos No.2 ,"Sod Phos,M-B/K Phos,Monob ",1,"$5,603.15 ","19,665",151,58,$0.28 ,$37.11 ,$96.61 ,"$1,661.83 ","3,559",39,15,$0.47 ,$42.61 ,$110.79 ,"$14,215.71 ","20,340",239,74,$0.70 ,$59.48 ,$192.10 ,"$18,832.19 ","23,905",272,86,$0.79 ,$69.24 ,$218.98 ,"$14,100.17 ","17,038",203,65,$0.83 ,$69.46 ,$216.93 ,5.05%,30.55%
K-Phos Original ,"Potassium Phosphate,Monobasic ",1,"$51,413.19 ","247,363","2,479",983,$0.21 ,$20.74 ,$52.30 ,"$8,196.80 ","34,535",377,145,$0.24 ,$21.74 ,$56.53 ,"$104,754.29 ","264,363","3,619","1,144",$0.40 ,$28.95 ,$91.57 ,"$135,836.01 ","324,701","3,724","1,085",$0.42 ,$36.48 ,$125.19 ,"$157,113.69 ","348,842","4,043","1,190",$0.45 ,$38.86 ,$132.03 ,7.66%,21.33%
K-Tab ER ,Potassium Chloride ,1,"$7,058,348.48 ","33,117,601","219,234","73,848",$0.21 ,$32.20 ,$95.58 ,"$8,130,863.26 ","34,624,748","229,960","78,021",$0.23 ,$35.36 ,$104.21 ,"$8,424,877.25 ","34,902,128","234,526","80,908",$0.24 ,$35.92 ,$104.13 ,"$8,330,920.61 ","35,144,353","238,523","81,537",$0.24 ,$34.93 ,$102.17 ,"$8,376,111.29 ","35,584,484","241,335","81,253",$0.24 ,$34.71 ,$103.09 ,-0.13%,2.84%
Kadcyla ,Ado-Trastuzumab Emtansine ,1,  ,  ,  ,  ,  ,  ,  ,"$2,002,118.22 ",636,285,49,"$3,303.56 ","$7,024.98 ","$40,859.56 ","$2,670,176.88 ",873,395,63,"$3,214.23 ","$6,759.94 ","$42,383.76 ","$2,166,802.40 ",725,317,50,"$3,178.06 ","$6,835.34 ","$43,336.05 ","$2,273,138.38 ",744,337,44,"$3,235.60 ","$6,745.22 ","$51,662.24 ",1.81%,-0.69%
Kadian ,Morphine Sulfate ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$3,824,814.92 ","213,809","3,470","1,145",$16.56 ,"$1,102.25 ","$3,340.45 ","$10,715,485.09 ","530,798","8,693","1,512",$19.06 ,"$1,232.66 ","$7,086.96 ","$9,197,177.75 ","426,858","7,135","1,268",$20.27 ,"$1,289.02 ","$7,253.29 ",6.32%,10.62%
Kalbitor ,Ecallantide ,1,"$7,611,217.48 ","2,539",476,48,"$2,997.72 ","$15,989.95 ","$158,567.03 ","$8,923,750.76 ","2,521",508,70,"$3,539.77 ","$17,566.44 ","$127,482.15 ","$24,164,269.19 ","6,333",881,92,"$3,815.61 ","$27,428.23 ","$262,655.10 ","$17,688,077.57 ","4,422",653,78,"$4,000.02 ","$27,087.41 ","$226,770.23 ","$14,744,063.38 ","3,597",565,74,"$4,099.13 ","$26,095.69 ","$199,244.10 ",2.48%,8.14%
Kaletra ,Lopinavir/Ritonavir ,1,"$97,328,035.43 ","16,166,465","124,478","15,508",$6.14 ,$781.89 ,"$6,275.99 ","$90,276,399.66 ","14,317,244","112,325","13,631",$6.43 ,$803.71 ,"$6,622.87 ","$80,737,870.72 ","12,174,487","94,755","11,545",$6.77 ,$852.07 ,"$6,993.32 ","$66,887,897.44 ","9,748,521","75,673","9,303",$7.01 ,$883.91 ,"$7,189.93 ","$52,058,176.47 ","7,033,484","54,850","6,964",$7.57 ,$949.10 ,"$7,475.33 ",7.90%,5.38%
Kalydeco ,IVacaftor ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$27,577,394.05 ","64,248","1,097",146,$429.23 ,"$25,138.92 ","$188,886.26 ","$32,374,481.85 ","75,541","1,333",157,$428.57 ,"$24,286.93 ","$206,206.89 ",-0.15%,-0.15%
Kapvay ,Clonidine HCl ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$30,108.12 ","5,528",55,20,$5.45 ,$547.42 ,"$1,505.41 ","$52,593.30 ","9,422",99,25,$5.58 ,$531.25 ,"$2,103.73 ",2.49%,2.49%
Kariva ,Desog-E.Estradiol/E.Estradiol ,1,"$370,422.01 ","247,315","7,343","1,272",$1.50 ,$50.45 ,$291.21 ,"$234,553.85 ","170,025","4,919",867,$1.38 ,$47.68 ,$270.54 ,"$170,570.64 ","139,687","3,990",729,$1.22 ,$42.75 ,$233.98 ,"$123,018.52 ","114,164","3,219",544,$1.08 ,$38.22 ,$226.14 ,"$85,256.99 ","88,960","2,447",424,$0.96 ,$34.84 ,$201.08 ,-11.06%,-10.56%
Kazano ,Alogliptin Benz/Metformin HCl ,1,  ,  ,  ,  ,  ,  ,  ,"$231,278.89 ","54,165",776,347,$4.27 ,$298.04 ,$666.51 ,"$1,463,298.17 ","310,208","4,304","1,246",$4.72 ,$339.99 ,"$1,174.40 ","$2,773,205.34 ","515,640","6,969","1,672",$5.38 ,$397.93 ,"$1,658.62 ","$2,449,930.41 ","419,182","5,442","1,375",$5.85 ,$450.19 ,"$1,781.77 ",8.67%,11.02%
Keflex ,Cephalexin ,1,  ,  ,  ,  ,  ,  ,  ,"$71,041.66 ","9,026",290,202,$7.87 ,$244.97 ,$351.69 ,"$207,221.20 ","25,796",718,409,$8.03 ,$288.61 ,$506.65 ,"$186,392.38 ","22,023",607,363,$8.46 ,$307.07 ,$513.48 ,"$89,238.30 ","10,457",266,170,$8.53 ,$335.48 ,$524.93 ,0.83%,2.73%
Kelnor 1-35 ,Ethynodiol D-Ethinyl Estradiol ,1,"$84,093.08 ","101,603","2,742",445,$0.83 ,$30.67 ,$188.97 ,"$84,889.45 ","105,644","2,771",528,$0.80 ,$30.63 ,$160.78 ,"$121,571.07 ","154,987","4,020",650,$0.78 ,$30.24 ,$187.03 ,"$100,810.59 ","134,742","3,214",622,$0.75 ,$31.37 ,$162.07 ,"$93,398.81 ","142,259","3,298",589,$0.66 ,$28.32 ,$158.57 ,-12.25%,-5.63%
Kenalog ,Triamcinolone Acetonide ,1,"$1,824,939.43 ","706,456","9,182","5,297",$2.58 ,$198.75 ,$344.52 ,"$2,119,054.07 ","764,079","9,420","5,472",$2.77 ,$224.95 ,$387.25 ,"$2,557,124.82 ","696,804","8,326","4,803",$3.67 ,$307.13 ,$532.40 ,"$1,642,395.42 ","334,281","3,934","2,521",$4.91 ,$417.49 ,$651.49 ,"$406,445.46 ","52,237",581,312,$7.78 ,$699.56 ,"$1,302.71 ",58.36%,31.74%
Kenalog-10 ,Triamcinolone Acetonide ,1,"$12,144.49 ","41,724",478,330,$0.29 ,$25.41 ,$36.80 ,"$11,353.51 ","69,432",485,319,$0.16 ,$23.41 ,$35.59 ,"$11,776.34 ","23,701",510,376,$0.50 ,$23.09 ,$31.32 ,"$15,736.65 ","24,933",595,420,$0.63 ,$26.45 ,$37.47 ,"$10,047.12 ","16,891",477,343,$0.59 ,$21.06 ,$29.29 ,-5.76%,19.56%
Kenalog-40 ,Triamcinolone Acetonide ,1,"$422,706.42 ","528,398","14,731","10,939",$0.80 ,$28.70 ,$38.64 ,"$457,016.35 ","682,056","15,963","11,734",$0.67 ,$28.63 ,$38.95 ,"$542,103.91 ","723,498","22,096","17,185",$0.75 ,$24.53 ,$31.55 ,"$540,129.84 ","647,459","25,983","20,267",$0.83 ,$20.79 ,$26.65 ,"$512,879.09 ","516,151","27,722","21,305",$0.99 ,$18.50 ,$24.07 ,19.11%,5.57%
Keppra ,Levetiracetam ,1,"$74,871,449.33 ","13,903,387","97,002","12,675",$6.47 ,$771.85 ,"$5,907.02 ","$79,220,046.66 ","13,494,394","91,969","11,367",$7.13 ,$861.38 ,"$6,969.30 ","$82,317,266.41 ","12,885,378","84,330","10,335",$7.86 ,$976.13 ,"$7,964.90 ","$85,200,036.54 ","12,243,409","78,283","9,394",$8.65 ,"$1,088.36 ","$9,069.62 ","$84,429,314.40 ","11,707,287","71,894","8,747",$9.04 ,"$1,174.36 ","$9,652.37 ",4.41%,8.70%
Keppra XR ,Levetiracetam ,1,"$19,708,302.64 ","3,714,976","30,451","4,347",$5.41 ,$647.21 ,"$4,533.77 ","$21,222,059.22 ","3,617,450","28,137","3,889",$5.99 ,$754.24 ,"$5,456.95 ","$22,457,103.96 ","3,466,863","26,065","3,497",$6.62 ,$861.58 ,"$6,421.82 ","$24,249,686.79 ","3,407,036","25,140","3,226",$7.28 ,$964.59 ,"$7,516.95 ","$24,589,715.63 ","3,307,138","23,335","3,002",$7.61 ,"$1,053.77 ","$8,191.11 ",4.42%,8.90%
Kerydin ,Tavaborole ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$6,442,184.44 ","49,018","5,274","3,441",$131.42 ,"$1,221.50 ","$1,872.18 ","$15,667,694.27 ","116,292","12,213","6,225",$134.73 ,"$1,282.87 ","$2,516.90 ",2.51%,2.51%
Ketoconazole ,Ketoconazole ,8,"$33,778,313.25 ","114,360,391","1,436,946","694,970",$0.38 ,$23.51 ,$48.60 ,"$35,591,685.17 ","134,654,806","1,659,584","805,510",$0.34 ,$21.45 ,$44.19 ,"$39,185,070.09 ","145,208,684","1,765,667","860,783",$0.38 ,$22.19 ,$45.52 ,"$60,886,766.91 ","157,198,564","1,884,871","929,194",$0.59 ,$32.30 ,$65.53 ,"$81,613,058.00 ","173,984,159","2,073,295","1,026,419",$0.72 ,$39.36 ,$79.51 ,22.12%,17.43%
Ketoprofen ,Ketoprofen ,2,"$6,074,911.02 ","6,306,631","79,971","29,919",$1.08 ,$75.96 ,$203.05 ,"$10,483,932.31 ","8,014,440","92,502","34,918",$1.36 ,$113.34 ,$300.24 ,"$15,200,474.50 ","10,156,278","99,815","37,801",$1.35 ,$152.29 ,$402.12 ,"$11,393,716.77 ","3,643,710","34,433","15,823",$2.76 ,$330.90 ,$720.07 ,"$7,335,625.73 ","2,640,786","26,620","11,012",$2.43 ,$275.57 ,$666.15 ,-12.04%,22.38%
Ketorolac Tromethamine ,Ketorolac Tromethamine ,13,"$19,411,672.24 ","5,373,624","708,662","422,746",$4.74 ,$27.39 ,$45.92 ,"$17,616,302.24 ","5,788,464","803,570","476,278",$3.77 ,$21.92 ,$36.99 ,"$22,012,261.82 ","6,456,562","915,931","538,408",$4.10 ,$24.03 ,$40.88 ,"$26,248,818.39 ","6,596,023","971,392","569,240",$4.66 ,$27.02 ,$46.11 ,"$28,440,047.08 ","7,368,369","1,056,574","626,252",$4.50 ,$26.92 ,$45.41 ,-3.45%,-1.29%
Keytruda ,Pembrolizumab ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$1,834,848.58 ","1,676",184,40,"$1,094.78 ","$9,972.00 ","$45,871.21 ","$4,230,078.99 ","3,824",452,88,"$1,106.19 ","$9,358.58 ","$48,069.08 ",1.04%,1.04%
Khedezla ,Desvenlafaxine ,1,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,"$90,974.79 ","8,192",252,98,$11.11 ,$361.01 ,$928.31 ,"$104,077.39 ","8,684",240,64,$11.99 ,$433.66 ,"$1,626.21 ",7.96%,7.96%
Kineret ,Anakinra ,1,"$4,263,089.08 ","42,183","2,110",349,$101.06 ,"$2,020.42 ","$12,215.15 ","$6,618,874.55 ","49,994","2,225",387,$132.39 ,"$2,974.78 ","$17,103.04 ","$8,004,714.44 ","50,929","2,234",394,$157.17 ,"$3,583.13 ","$20,316.53 ","$8,767,048.38 ","50,486","2,336",398,$173.65 ,"$3,753.02 ","$22,027.76 ","$10,858,650.70 ","54,662","2,455",388,$198.65 ,"$4,423.08 ","$27,986.21 ",14.39%,18.41%
Kionex ,Sodium Polystyrene Sulfon/Sorb ,1,"$2,474,829.28 ","21,507,687","50,070","26,709",$0.12 ,$49.43 ,$92.66 ,"$2,991,711.02 ","26,935,572","62,140","33,544",$0.11 ,$48.14 ,$89.19 ,"$4,550,362.51 ","35,842,541","84,250","45,798",$0.13 ,$54.01 ,$99.36 ,"$5,271,768.88 ","38,546,108","93,934","51,799",$0.14 ,$56.12 ,$101.77 ,"$5,610,385.27 ","42,506,253","105,605","57,409",$0.13 ,$53.13 ,$97.73 ,-3.49%,3.49%
Kionex ,Sodium Polystyrene Sulfonate ,1,"$2,481,915.17 ","8,710,047","19,186","10,529",$0.28 ,$129.36 ,$235.72 ,"$1,415,197.99 ","5,244,494","11,259","6,581",$0.27 ,$125.69 ,$215.04 ,"$799,473.71 ","3,595,493","7,532","4,394",$0.22 ,$106.14 ,$181.95 ,"$530,114.24 ","2,432,697","4,988","3,087",$0.22 ,$106.28 ,$171.72 ,"$319,828.16 ","1,606,867","3,185","1,733",$0.20 ,$100.42 ,$184.55 ,-8.66%,-8.58%
